"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bangladesh","BGD","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87651674864.9968","93774014162.9445","101131176158.587","108406129565.291","115028248980.541","123454720128.577","131401130450.122","139668565007.355","148552643774.258","157681504550.442","169789495951.433","182429694022.058","192374658643.235","205469037587.366","222039275911.527","243969484011.719","268277029977.085","294975655367.639","318712532762.237","336937842800.931","359986214411.139","391220073587.412","443598789939.633","480218563286.77","520423230999.264","555570050290.634","728388162627.082","781590411613.399","858837220215.19","943103027726.51","987379950248.558","1099767213458.98",
"Bulgaria","BGR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65797993936.6525","62278330662.3079","59065261518.5952","59570292315.1865","61948491652.5497","65053238123.5232","57260138653.6366","47798043632.7839","51007564201.2472","47685758137.2379","52468510708.6717","55735446319.015","61023649905.0158","65444800367.9274","71006719143.5679","78821833750.4599","86713356360.4246","96666032169.8802","107411216119.713","105570797722.546","110612181615.067","115714748426.258","119289608551.244","120942415882.877","127263488552.679","132017089872.021","143086431967.281","151920196034.544","161688888347.191","170889592876.083","170330179348.305","184244160873.507",
"Bahrain","BHR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13313767889.9519","15309705679.4482","16706160236.2094","19303201194.1008","19666117520.7429","20867579696.4914","22123020634.4793","23200581590.5379","24585528466.9632","26004071347.1369","28002664526.8386","29346798120.2163","30802185154.6651","33387815395.3606","36677438753.2954","40388126701.9833","44326828395.8536","49300579352.8429","53384007743.8557","55090758632.4026","58169329411.6696","60555691596.7436","65875368137.9427","67716644746.8625","68275971746.1039","62523275420.368","63831285346.3079","71282082008.2729","74525827683.0157","77502717906.4679","74565280474.1503","79392034653.1786",
"Bahamas, The","BHS","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5501991400.88489","5450193386.27283","5361145225.5925","5505115667.84428","5799726448.16326","6180621795.12848","6559607002.91599","7131521960.35959","6886999687.98322","7835934751.55605","8345958865.26692","8758020182.52818","9135084086.48799","9197578689.35066","9527849444.76323","10160265552.1052","10737378438.046","11187098375.4539","11136741042.6804","10740093108.9227","11036376383.4369","11334782601.5822","11713379202.2105","11696357438.9299","12359296821.0233","12668729965.4651","12806342894.3089","13709238137.5877","14293767377.604","14825323453.4803","11429658542.6854","13537883107.8404",
"Bosnia and Herzegovina","BIH","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3548331301.08795","4376265344.42543","8420696882.85811","11511684609.5899","13457287424.0528","14957037352.8175","17248489117.2803","17996031703.3399","19535776808.506","20548203148.6305","22394548750.3045","24398017490.0471","27916911841.1397","30841702519.5646","33896691639.7567","33730478146.0557","34639788739.8669","36525658671.5007","37145719784.7725","39027209595.236","39811581008.9019","41189243040.0017","44265804797.4003","46096455492.7374","49587985446.7969","51862764232.0637","51175564234.2429","54977717993.0986",
"Belarus","BLR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53250955635.6686","54391157109.1213","50290136477.0865","47569536599.1386","42900860180.7042","39245201757.5411","41082756176.5868","46555399157.8062","51034060777.1634","53512859527.815","57899283447.318","62001283966.7335","66144476953.7165","72200530511.3246","82627376602.6377","93228959084.0122","105716172540.63","117910480784.173","132429460433.457","133544823623.481","145689092567.2","156715098657.899","171037674358.344","179366145726.605","179597949624.117","171204463522.202","168421837005.779","173630155305.786","183376785383.062","189270070621.42","189827258189.315","202671495340.37",
"Belize","BLZ","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","623815019.245061","718843782.606956","823881474.770034","896340840.929753","916931835.677877","942192408.289972","973155177.097464","1025026389.6672","1075336201.93705","1186222743.75312","1371037312.18775","1472146993.67083","1571663474.70986","1752306164.42151","1883019019.72937","1984754039.92256","2139241832.54634","2222684463.88291","2327724351.92575","2349667528.57471","2457006690.49897","2548273054.70803","2471868170.37806","2502348205.65732","2554555740.70075","2630697755.88343","2677439217.50021","2683373621.03702","2803657514.03488","2909884172.21537","2451671311.33988","2802598957.5175",
"Bermuda","BMU","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2068741981.23927","2063112005.07248","2108867924.43701","2223805865.27062","2284912522.66975","2435449296.31369","2544534462.58418","2707480241.19794","2844734029.45805","2982406330.88787","3334145031.76884","3655493461.72759","3657603009.02598","3857001614.38818","4052473975.96067","4249526752.52499","4623506775.37574","4907300837.68478","4908095298.74214","4661620197.82517","4599566292.56937","4519405326.5993","4370872662.28833","4484628779.9265","4479895049.92416","4688793778.80788","4929475866.99318","5227044136.51153","5328755616.19818","5440684022.1614","5128888009.40306","5440977856.09042",
"Bolivia","BOL","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16283841547.8631","17721116844.6287","18423392428.3864","19665282457.4197","21022650005.1143","22467594792.2645","23876799317.3531","25491843210.6225","27075267754.7027","27574030464.4297","28905904150.2006","30054823271.6582","31281912250.3691","32764190064.686","35047766275.6842","37745009268.3395","40776162791.1297","43789629088.7436","47373527751.8864","49277693034.8021","51927900991.6518","55765337777.5774","61452959663.3131","69841188342.1911","75554052859.3584","77543289209.0962","82736157903.0732","94285208501.691","100615081213.437","104685033394.055","96689230653.4345","106855999487.86",
"Brazil","BRA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","997366926074.853","1041738357708.39","1059681669176.96","1138222746879.02","1230569918679.35","1309440382663.44","1362869157923.77","1433436057306.69","1454470819924.79","1481869627113.38","1581938922683.9","1640061928833.08","1716481965939.58","1770327038985.79","1922557348338.68","2046338691519.81","2193057535019.42","2389038740932.39","2558895374192.6","2572056702792.12","2798924733572.41","2970630762099.6","2998534424980.66","3133893649534.78","3187155079572.03","3014754849735.87","2939094210373.7","3018705988834.88","3145953189874.14","3241317399249.49","3153147446348.34","3435882150019.29",
"Barbados","BRB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2497441049.29034","2481206912.74526","2393289367.8992","2469448765.64892","2572897552.48331","2679753339.48875","2837329617.38974","3023068973.28111","3171077315.06072","3226526908.05637","3446366012.24299","3440651777.29148","3521789394.87694","3669423347.24672","3821113629.61426","4096819123.84869","4481383801.49758","4698118025.0051","4818874134.92597","4606412344.53791","4551513239.42852","4614125864.65154","4343539147.96305","4359831112.42616","4322217288.02397","4434706830.91878","4561691902.30191","4522539648.52612","4583021077.79282","4636528984.27614","4036347784.49374","4262929980.0986",
"Brunei Darussalam","BRN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14450109617.4131","15408743061.3974","16509841818.3488","16952657548.7417","17859283753.2782","19050412632.8206","19957590746.6769","20003072179.7589","20115237016.8534","21021308134.4865","22110111947.6952","23228621563.6443","24504099645.9353","25713344431.5388","26536753668.7613","27474956035.5065","29568272358.0279","30414305194.0122","30396365593.8609","30051400072.8521","31202967176.6399","33044207206.1251","35209872643.723","33885246844.1847","33344140243.0964","25948980972.9153","23633069098.5308","25891019749.5614","26523407039.6752","28042411244.7536","28702100627.9164","29414804856.2056",
"Bhutan","BTN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","826885271.862341","851361840.671594","910826502.023136","950937386.760534","1019335107.98805","1114330567.6164","1197883488.75557","1284022547.59182","1375266837.39962","1505995818.20968","1591786776.98512","1763540646.7639","1987900605.06249","2185722604.10008","2379256306.92264","2632684903.75645","2903885772.48762","3529951568.93269","3770321645.20738","4050552394.28651","4588921536.66413","5058193225.03562","5551018263.98396","5674556893.9944","6231640988.1671","6915381146.16075","7703914681.55542","8307416844.22731","8765747674.51565","9436049420.15261","8587507955.35506","",
"Botswana","BWA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7035483673.60333","7815909227.50671","8227218171.26016","8583610143.73022","9084962603.57205","9927568515.7333","10698693357.3138","11789307083.2943","11974893200.7612","13317602945.8254","13890030225.9039","14238554923.3448","15338149797.6125","16364393293.2732","17258358017.8605","18610612176.1551","20789454846.061","23118491672.7399","25033431843.3106","23265970593.4127","25561935548.1797","27671240752.478","26701761151.3855","29222392064.0324","32797318372.1494","31046345793.2204","35937956386.5053","35166622661.948","37439968408.2196","39385921294.908","36382213328.7921","42200357919.0876",
"Central African Republic","CAF","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1781544257.69919","1831615144.575","1753010156.05268","1800579181.3785","1929140675.40674","2111404422.0818","2064059017.51379","2210932525.92625","2340903900.00677","2459352225.4633","2452459053.47969","2619674574.42282","2756721239.36077","2659397659.60188","2894494248.06212","3012372945.01733","3253479785.99681","3495362385.01733","3635577476.73456","3973077426.84278","4207022668.79955","4474567487.04114","4889047036.92662","3284695704.66429","3215650000.89682","3536183568.04248","3861897992.35142","4195263790.82987","4458264236.25294","4678688206.90582","4777693076.28373","5021009903.68172",
"Canada","CAN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","755390170461.408","793674327704.288","846412945809.995","900996986801.064","937786776176.929","971003788233.131","1023682523002.92","1083609294356.44","1171326187910.13","1241594039979.59","1301593351698.17","1342395839240.43","1307000908301.48","1363577286343.32","1430806739876.64","1468097961846.59","1554125000000","1621395561291.92","1594851775821.65","1678092366067.54","1765762548007.76","1852985933143.48","1853711000627.98","1771473892248.83","1992049900005.26",
"Central Europe and the Baltics","CEB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","785640204788.976","734437205711.401","736593716767.938","765684773007.605","813879018965.942","878093244200.743","920948886053.053","952765519073.089","993859825503.124","1024880687966.77","1086143772400.6","1162588835233.1","1243986168624.42","1315747974582.26","1433672338383.27","1517695035445.24","1683968584606.36","1871345634502.31","2065494805931.09","2064386412894.08","2172912840012.6","2311350126997.99","2387968429638.6","2485411302264.83","2585785929327","2699167747965.72","2870963962801.29","3072061486735.75","3273941244080.6","3458482028838.08","3449075040051.1","3752456821384.17",
